id_pesquisa,ano,turno,instituto,contratante,data,data_referencia,dias_ate_eleicao,tipo,tipo_voto,numero_registro,,quantidade_entrevistas,margem_mais,margem_menos,id_cenario,descricao_cenario,nome_candidato,sigla_partido,condicao,categoria_voto,percentual,nome_pesquisa,percentual_pesquisa,nome_tse,percentual_valido,turno_real,nome_clean,categoria_voto_corrigida,soma_validos_pesquisa,percentual_pesquisa_valido,vies
10385,2022,1,Ipec,Grupo Globo,2022-08-29,2022-08-29,34,estimulada,votos totais,BR-01979/2022,numero_registro,800,2,2,26798,cenário 1 - estimulada - 1º turno,Bolsonaro,PL,0,candidato,32,bolsonaro,0.32,jair messias bolsonaro,0.431975526,1,bolsonaro,candidato,0.87,0.367816092,-0.064159434
10385,2022,1,Ipec,Grupo Globo,2022-08-29,2022-08-29,34,estimulada,votos totais,BR-01979/2022,BR-01979/2022,800,2,2,26798,cenário 1 - estimulada - 1º turno,brancos / nulos,N/A,1,branco_nulo,7,brancos nulos,0.07,brancos nulos,,1,brancos nulos,branco_nulo,0.87,,
10385,2022,1,Ipec,Grupo Globo,2022-08-29,2022-08-29,34,estimulada,votos totais,BR-01979/2022,BR-08847/2022,800,2,2,26798,cenário 1 - estimulada - 1º turno,Ciro,PDT,0,candidato,7,ciro,0.07,ciro ferreira gomes,0.030443166,1,ciro,candidato,0.87,0.08045977,0.050016604
10385,2022,1,Ipec,Grupo Globo,2022-08-29,2022-08-29,34,estimulada,votos totais,BR-01979/2022,0,800,2,2,26798,cenário 1 - estimulada - 1º turno,não sabem / não responderam,N/A,1,nao_sabe,6,nao sabem nao responderam,0.06,nao sabem nao responderam,,1,nao sabem nao responderam,nao_sabe,0.87,,
10385,2022,1,Ipec,Grupo Globo,2022-08-29,2022-08-29,34,estimulada,votos totais,BR-01979/2022,BR-00245/2022,800,2,2,26798,cenário 1 - estimulada - 1º turno,Simone Tebet,MDB,0,candidato,3,simone tebet,0.03,simone nassar tebet,0.04157519,1,simone tebet,candidato,0.87,0.034482759,-0.007092431
10385,2022,1,Ipec,Grupo Globo,2022-08-29,2022-08-29,34,estimulada,votos totais,BR-01979/2022,BR-04217/2022,800,2,2,26798,cenário 1 - estimulada - 1º turno,Lula,PT,0,candidato,44,lula,0.44,luiz inacio lula da silva,0.484307199,1,lula,candidato,0.87,0.505747126,0.021439928
10385,2022,1,Ipec,Grupo Globo,2022-08-29,2022-08-29,34,estimulada,votos totais,BR-01979/2022,BR-04099/2022,800,2,2,26798,cenário 1 - estimulada - 1º turno,Luiz Felipe d'Avila,NOVO,0,candidato,1,luiz felipe davila,0.01,luiz felipe chaves d avila,0.004734072,1,luiz felipe davila,candidato,0.87,0.011494253,0.006760181
10385,2022,2,Ipec,Grupo Globo,2022-08-29,2022-08-29,62,estimulada,votos totais,BR-01979/2022,BR-09344/2022,800,2,2,26799,cenário 2 - estimulada - 2º turno,não sabem / não responderam,N/A,1,nao_sabe,4,nao sabem nao responderam,0.04,nao sabem nao responderam,,2,nao sabem nao responderam,nao_sabe,0.87,,
10385,2022,2,Ipec,Grupo Globo,2022-08-29,2022-08-29,62,estimulada,votos totais,BR-01979/2022,BR-07606/2022,800,2,2,26799,cenário 2 - estimulada - 2º turno,Lula,PT,0,candidato,50,lula,0.5,luiz inacio lula da silva,0.509024051,2,lula,candidato,0.87,0.574712644,0.065688593
10385,2022,2,Ipec,Grupo Globo,2022-08-29,2022-08-29,62,estimulada,votos totais,BR-01979/2022,BR-08883/2022,800,2,2,26799,cenário 2 - estimulada - 2º turno,Bolsonaro,PL,0,candidato,37,bolsonaro,0.37,jair messias bolsonaro,0.490975949,2,bolsonaro,candidato,0.87,0.425287356,-0.065688593
