ID;telefonica;presencial;Data Início;Data Final;dias_ate_eleicao;is_15dias;is_30dias;is_60dias;Dias_Campo;Final_de_Semana;is_vespera;is_ultima_semana;Tam._Amostra;Valor(R$);conglomerados_3estagios;conglomerados_2estagios;PPT;RDD;Auditoria=20;Auditoria=30;Estatistico_responsavel
BR-00848/2022;1;0;20/08/2022;24/08/2022;39;0;0;1;5;1;0;0;7500;45000;0;0;0;0;0;0;Gabrielle Alves Palermo Cavalcante
BR-01204/2022;1;0;16/09/2022;20/09/2022;12;1;1;1;5;1;0;0;7500;35000;0;0;0;0;0;0;Gabrielle Alves Palermo Cavalcante
BR-01318/2022;1;0;24/09/2022;28/09/2022;4;1;1;1;5;1;0;1;4500;45000;0;0;0;0;0;0;Gabrielle Alves Palermo Cavalcante
BR-02714/2022;1;0;22/09/2022;26/09/2022;6;1;1;1;5;1;0;1;4500;52000;0;0;0;0;0;0;Gabrielle Alves Palermo Cavalcante
BR-07338/2022;1;0;28/09/2022;30/09/2022;2;1;1;1;3;0;0;1;4500;65000;0;0;0;0;0;0;Gabrielle Alves Palermo Cavalcante
BR-02137/2022;1;0;16/01/2022;18/01/2022;257;0;0;0;3;1;0;0;3000;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-03014/2022;1;0;14/02/2022;18/02/2022;226;0;0;0;5;0;0;0;2000;93435,01;0;1;0;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-03573/2022;1;0;03/07/2022;03/09/2022;207;0;0;0;3;0;0;0;1000;42000;0;1;0;0;1;0;Joaquim Andre Harmes Figueiredo
BR-04724/2022;1;0;03/07/2022;03/12/2022;204;0;0;0;6;1;0;0;3000;40000;0;0;0;1;1;0;Augusto da Silva Rocha
BR-00835/2022;1;0;13/03/2022;15/03/2022;201;0;0;0;3;1;0;0;3000;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-00758/2022;1;0;22/03/2022;25/03/2022;191;0;0;0;4;0;0;0;2000;93435,01;0;1;0;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-02346/2022;1;0;30/03/2022;04/05/2022;180;0;0;0;7;1;0;0;2095;20000;0;0;0;0;1;0;Clenilson Santos de Oliveira
BR-00368/2022;1;0;04/10/2022;04/12/2022;173;0;0;0;3;1;0;0;3000;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-02495/2022;1;0;15/04/2022;20/04/2022;165;0;0;0;6;1;0;0;1500;27970;0;0;1;0;0;1;Adriana Aparecida Marcal
BR-04676/2022;1;0;22/04/2022;24/04/2022;161;0;0;0;3;1;0;0;2000;128957,83;0;0;0;1;1;0;Neale Ahmed El-Dash
BR-00123/2022;1;0;30/05/2022;06/03/2022;121;0;0;0;5;0;0;0;2095;20000;0;0;0;0;1;0;Clenilson Santos de Oliveira
BR-03958/2022;1;0;06/10/2022;06/12/2022;112;0;0;0;3;1;0;0;2000;128957,83;0;0;0;1;1;0;Neale Ahmed El-Dash
BR-00603/2022;1;0;08/12/2022;14/08/2022;49;0;0;1;3;1;0;0;2000;128957,83;0;0;0;1;1;0;Neale Ahmed El-Dash
BR-00244/2022;1;0;19/08/2022;21/08/2022;42;0;0;1;3;1;0;0;2000;128957,83;0;0;0;1;1;0;Neale Ahmed El-Dash
BR-02405/2022;1;0;19/08/2022;24/08/2022;39;0;0;1;6;1;0;0;1500;27970;0;0;1;0;0;1;Adriana Aparecida Marcal
BR-04347/2022;1;0;26/08/2022;29/08/2022;34;0;0;1;4;1;0;0;2000;84000;0;1;0;0;1;0;Joaquim Andre Harmes Figueiredo
BR-01060/2022;0;1;27/08/2022;09/02/2022;30;0;1;1;7;1;0;0;21019;138060;0;1;1;0;1;0;Guilherme Alvarenga Laia
BR-01786/2022;1;0;09/02/2022;09/04/2022;28;0;1;1;3;1;0;0;2000;128957,83;0;0;0;1;1;0;Neale Ahmed El-Dash
BR-02955/2022;1;0;09/11/2022;13/09/2022;19;0;1;1;3;1;0;0;3500;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-00745/2022;1;0;09/12/2022;14/09/2022;18;0;1;1;3;0;0;0;2000;93435,01;0;1;0;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-01527/2022;1;0;09/10/2022;14/09/2022;18;0;1;1;5;1;0;0;2400;50000;1;0;1;0;1;0;Bruno Agra Ferreira
BR-00580/2022;1;0;18/09/2022;20/09/2022;12;1;1;1;3;1;0;0;2400;32000;1;0;1;0;1;0;Bruno Agra Ferreira
BR-00407/2022;1;0;18/09/2022;20/09/2022;12;1;1;1;3;1;0;0;3500;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-02018/2022;1;0;20/09/2022;22/09/2022;10;1;1;1;3;0;0;0;11500;28000;0;0;0;1;0;0;Louise Barbosa dos Santos Machado
BR-01426/2022;1;0;25/09/2022;27/09/2022;5;1;1;1;3;1;0;1;4500;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-01734/2022;1;0;14/05/2022;19/05/2022;136;0;0;0;6;1;0;0;1500;27970;0;0;1;0;0;1;Adriana Aparecida Marçal
BR-01975/2022;1;0;06/05/2022;06/07/2022;117;0;0;0;3;1;0;0;3000;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-02548/2022;1;0;14/08/2022;16/08/2022;47;0;0;1;3;1;0;0;3500;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-02603/2022;1;0;05/09/2022;05/11/2022;144;0;0;0;3;0;0;0;1000;42000;0;0;0;0;1;0;Joaquim André Harmes Figueiredo
BR-02618/2022;1;0;09/05/2022;09/07/2022;25;0;1;1;3;0;0;0;2000;93435,01;0;1;0;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-02845/2022;1;0;17/06/2022;22/06/2022;102;0;0;0;6;1;0;0;1500;27970;0;0;1;0;0;1;Juliana Pinto Pereira Dias
BR-02893/2022;1;0;30/05/2022;06/01/2022;123;0;0;0;3;0;0;0;1000;42000;0;0;0;0;1;0;Joaquim André Harmes Figueiredo
BR-03033/2022;1;0;17/08/2022;22/08/2022;41;0;0;1;6;1;0;0;5050;146450;0;0;1;0;1;0;Guilherme Alvarenga Laia
BR-01570/2022;1;0;27/02/2022;03/01/2022;215;0;0;0;3;1;0;0;3000;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-03196/2022;1;0;27/05/2022;29/05/2022;126;0;0;0;3;1;0;0;2000;128957,83;0;0;0;1;1;0;Neale Ahmed El-Dash
BR-03460/2022;1;0;01/09/2022;13/01/2022;262;0;0;0;5;1;0;0;1500;27970;0;0;1;0;0;1;Adriana Aparecida Marçal
BR-03473/2022;1;0;05/02/2022;05/04/2022;151;0;0;0;3;0;0;0;1000;42000;0;0;0;0;1;0;Joaquim André Harmes Figueiredo
BR-03760/2022;1;0;09/05/2022;09/06/2022;26;0;1;1;2;0;0;0;3500;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-03828/2022;1;0;02/07/2022;02/09/2022;235;0;0;0;3;0;0;0;1000;42000;0;0;0;0;1;0;Joaquim André Harmes Figueiredo
BR-03874/2022;1;0;04/02/2022;04/05/2022;180;0;0;0;4;1;0;0;1000;42000;0;0;0;0;1;0;Joaquim André Harmes Figueiredo
BR-04222/2022;1;0;21/03/2022;23/03/2022;193;0;0;0;3;0;0;0;1000;42000;0;0;0;0;1;0;Joaquim André Harmes Figueiredo
BR-04244/2022;1;0;18/03/2022;23/03/2022;193;0;0;0;6;1;0;0;1500;27970;0;0;1;0;0;1;Adriana Aparecida Marçal
BR-04937/2022;1;0;08/01/2022;08/05/2022;58;0;0;1;5;0;0;0;1000;40000;0;1;0;0;1;0;João Batista Soares Filho
BR-05007/2022;1;0;30/09/2022;30/09/2022;2;1;1;1;1;0;1;1;1100;46200;0;0;0;0;1;0;Joaquim André Harmes Figueiredo
BR-05015/2022;1;0;21/02/2022;23/02/2022;221;0;0;0;3;0;0;0;1000;42000;0;0;0;0;1;0;Joaquim André Harmes Figueiredo
BR-05022/2022;1;0;24/06/2022;26/06/2022;98;0;0;0;3;1;0;0;2000;128957,83;0;0;0;1;1;0;Neale Ahmed El-Dash
BR-05638/2022;1;0;22/05/2022;24/05/2022;131;0;0;0;3;1;0;0;3000;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-05658/2022;1;0;16/05/2022;19/05/2022;136;0;0;0;4;0;0;0;2000;93435,01;0;1;0;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-05747/2022;1;0;18/04/2022;20/04/2022;165;0;0;0;3;0;0;0;1000;42000;0;0;0;0;1;0;Joaquim André Harmes Figueiredo
BR-05757/2022;1;0;05/04/2022;05/07/2022;148;0;0;0;4;1;0;0;2002;99600;0;1;0;0;1;0;Marcelo Costa Souza
BR-05938/2022;1;0;22/07/2022;24/07/2022;70;0;0;0;3;1;0;0;2000;128957,83;0;0;0;1;1;0;Neale Ahmed El-Dash
BR-05955/2022;1;0;18/02/2022;22/02/2022;222;0;0;0;5;1;0;0;1500;26249,84;0;0;1;0;0;1;Adriana Aparecida Marçal
BR-06408/2022;1;0;24/01/2022;25/01/2022;250;0;0;0;2;0;0;0;1000;42000;0;1;0;0;1;0;Joaquim André Harmes Figueiredo
BR-06942/2022;1;0;13/02/2022;15/02/2022;229;0;0;0;3;1;0;0;3000;103715;0;1;0;1;1;0;Ulisses Ramos Montarroyos
BR-06661/2022;1;0;27/03/2022;29/03/2022;187;0;0;0;3;1;0;0;3000;103715;0;1;0;1;1;0;Ulisses Ramos Montarroyos
BR-06764/2022;1;0;05/10/2022;14/05/2022;141;0;0;0;5;1;0;0;3000;40000;0;1;0;1;1;0;Augusto da Silva Rocha
BR-07003/2022;1;0;19/06/2022;21/06/2022;103;0;0;0;3;1;0;0;3000;103715;0;1;0;1;1;0;Ulisses Ramos Montarroyos
BR-06550/2022;1;0;07/03/2022;07/05/2022;89;0;0;0;3;1;0;0;3000;103715;0;1;0;1;1;0;Ulisses Ramos Montarroyos
BR-07122/2022;1;0;17/07/2022;19/07/2022;75;0;0;0;3;1;0;0;3000;103715;0;1;0;1;1;0;Ulisses Ramos Montarroyos
BR-06922/2022;1;0;28/08/2022;30/08/2022;33;0;0;1;3;1;0;0;3500;103715;0;1;0;1;1;0;Ulisses Ramos Montarroyos
BR-06321/2022;1;0;09/09/2022;09/11/2022;21;0;1;1;3;1;0;0;2000;128957,83;0;1;0;1;1;0;Neale Ahmed El-Dash
BR-06743/2022;1;0;26/09/2022;28/09/2022;4;1;1;1;3;0;0;1;2000;93435,01;0;1;0;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-07402/2022;1;0;03/07/2022;03/10/2022;206;0;0;0;4;0;0;0;2095;20000;0;1;0;0;1;0;Clenilson Santos de Oliveira
BR-07167/2022;1;0;24/04/2022;26/04/2022;159;0;0;0;3;1;0;0;3000;103715;0;1;0;1;1;0;Ulisses Ramos Montarroyos
BR-08011/2022;1;0;16/05/2022;18/05/2022;137;0;0;0;3;0;0;0;1000;42000;0;1;0;0;1;0;Joaquim André Harmes Figueiredo
BR-07856/2022;1;0;23/05/2022;25/05/2022;130;0;0;0;3;0;0;0;1000;42000;0;1;0;0;1;0;Joaquim André Harmes Figueiredo
BR-07639/2022;1;0;21/07/2022;25/07/2022;69;0;0;0;5;1;0;0;2000;93435,01;0;1;0;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-08028/2022;1;0;08/05/2022;08/07/2022;56;0;0;1;3;1;0;0;2000;128957,83;0;1;0;1;1;0;Neale Ahmed El-Dash
BR-07901/2022;1;0;19/08/2022;22/08/2022;41;0;0;1;4;1;0;0;2000;80000;1;0;1;0;1;0;Bruno Agra Ferreira
BR-07568/2022;1;0;24/08/2022;25/08/2022;38;0;0;1;2;0;0;0;2000;93435,01;0;1;0;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-07560/2022;1;0;16/09/2022;18/09/2022;14;0;1;1;3;1;0;0;2000;128957,83;0;1;0;1;1;0;Neale Ahmed El-Dash
BR-08123/2022;1;0;23/09/2022;25/09/2022;7;1;1;1;3;1;0;0;2000;128957,83;0;1;0;1;1;0;Neale Ahmed El-Dash
BR-07917/2022;1;0;27/09/2022;29/09/2022;3;1;1;1;3;0;0;1;2020;30000;0;1;1;0;1;0;Tatiani Cristina Ara
BR-09080/2022;1;0;01/10/2022;01/12/2022;263;0;0;0;3;0;0;0;1000;42000;0;1;0;0;1;0;Joaquim André Harmes Figueiredo
BR-08869/2022;1;0;17/01/2022;21/01/2022;254;0;0;0;5;0;0;0;2000;93435,01;0;1;0;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-08858/2022;1;0;20/04/2022;25/04/2022;160;0;0;0;6;1;0;0;2000;93435,01;0;1;0;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-08423/2022;1;0;05/08/2022;05/10/2022;145;0;0;0;3;1;0;0;3000;103715;0;1;0;1;1;0;Ulisses Ramos Montarroyos
BR-08220/2022;1;0;20/07/2022;22/07/2022;72;0;0;0;3;0;0;0;2000;84000;0;1;0;0;1;0;Joaquim André Harmes Figueiredo
BR-08398/2022;1;0;31/07/2022;08/02/2022;61;0;0;0;3;1;0;0;3500;103715;0;1;0;1;1;0;Ulisses Ramos Montarroyos
BR-08934/2022;1;0;26/08/2022;28/08/2022;35;0;0;1;3;1;0;0;2000;128957,83;0;1;0;1;1;0;Neale Ahmed El-Dash
BR-09102/2022;1;0;29/08/2022;09/01/2022;31;0;0;1;4;0;0;0;2095;20000;0;1;0;0;1;0;Clenilson Santos de Oliveira
BR-08883/2022;1;0;14/09/2022;16/09/2022;16;0;1;1;3;0;0;0;1100;46200;0;1;0;0;1;0;Joaquim André Harmes Figueiredo
BR-08425/2022;1;0;19/09/2022;21/09/2022;11;1;1;1;3;0;0;0;2000;84000;0;1;0;0;1;0;Joaquim André Harmes Figueiredo
BR-08847/2022;1;0;26/09/2022;28/09/2022;4;1;1;1;3;0;0;1;1600;30000;1;0;1;0;1;0;Bruno Agra Ferreira
BR-09445/2022;1;0;31/01/2022;02/01/2022;243;0;0;0;2;0;0;0;3000;103715;0;0;0;1;1;0;Ulisses Ramos Montarroyos
BR-09630/2022;1;0;18/03/2022;20/03/2022;196;0;0;0;3;1;0;0;2000;128957,83;0;0;0;1;1;0;Neale Ahmed El-Dash
BR-09994/2022;1;0;20/06/2022;24/06/2022;100;0;0;0;5;0;0;0;2000;93435,01;0;0;1;0;1;0;Priscila Pagung de Aquino Lapa Campos
BR-09292/2022;1;0;07/08/2022;07/10/2022;84;0;0;0;3;1;0;0;2000;128957,83;0;0;0;1;1;0;Neale Ahmed El-Dash
BR-09608/2022;1;0;15/07/2022;20/07/2022;74;0;0;0;6;1;0;0;1500;27970;0;0;1;0;0;1;Juliana Pinto Pereira Dias
BR-09344/2022;1;0;30/08/2022;09/01/2022;31;0;0;1;3;0;0;0;1100;46200;0;0;0;0;1;0;Joaquim Andre Harmes Figueiredo
BR-09782/2022;1;0;23/09/2022;28/09/2022;4;1;1;1;6;1;0;1;1500;33802,73;0;0;1;0;0;1;Adriana Aparecida Marcal
BR-00075/2022;0;1;01/06/2022;01/09/2022;266;0;0;0;4;1;0;0;2000;268742,48;1;0;1;0;1;0;Margarida Maria de Mendonca
